,Country_Name,Country_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
12,Austria,AUT,68.5856097560976,69.5773170731707,69.309512195122,69.4436585365854,69.92195121951221,69.7221951219512,70.0458536585366,69.9178048780488,70.0575609756098,69.8331707317073,69.9146341463415,70.1146341463415,70.4634146341463,71.01463414634149,71.0121951219512,71.1146341463415,71.5658536585366,71.9146341463415,72.0121951219512,72.3121951219512,72.4634146341463,72.8121951219512,72.9609756097561,73.0121951219512,73.6121951219512,73.81463414634149,74.3170731707317,74.7682926829268,75.21707317073171,75.2658536585366,75.56829268292691,75.6170731707317,75.8170731707317,76.0682926829268,76.41951219512201,76.6682926829268,76.87073170731709,77.319512195122,77.67073170731709,77.87560975609759,78.12682926829271,78.57560975609759,78.6780487804878,78.63170731707321,79.1804878048781,79.3317073170732,79.88048780487809,80.1804878048781,80.4317073170732,80.3317073170732,80.58048780487809,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.19024390243901,81.6414634146342,81.6414634146342
13,Azerbaijan,AZE,61.034,61.256,61.468999999999994,61.678999999999995,61.888999999999996,62.104,62.321999999999996,62.538999999999994,62.75,62.953,63.141000000000005,63.31,63.457,63.582,63.687,63.776,63.852,63.92100000000001,63.992,64.069,64.161,64.28,64.425,64.587,64.759,64.913,65.016,65.053,65.021,64.935,64.827,64.745,64.73100000000001,64.81,64.991,65.256,65.57300000000001,65.899,66.207,66.491,66.763,67.054,67.391,67.791,68.249,68.747,69.259,69.752,70.20100000000001,70.597,70.938,71.234,71.506,71.768,72.02199999999999,72.266,72.493,72.693
14,Burundi,BDI,41.281000000000006,41.592,41.907,42.225,42.54,42.838,43.105,43.332,43.523,43.685,43.841,44.021,44.246,44.528,44.865,45.242,45.63,45.998999999999995,46.327,46.608000000000004,46.852,47.083,47.324,47.581,47.843999999999994,48.08,48.243,48.301,48.244,48.08,47.82899999999999,47.522,47.211999999999996,46.953,46.786,46.758,46.905,47.226000000000006,47.708,48.339,49.091,49.93,50.81,51.69,52.547,53.369,54.163000000000004,54.943999999999996,55.721000000000004,56.488,57.228,57.925,58.568000000000005,59.148,59.665,60.123000000000005,60.528,60.898
15,Belgium,BEL,69.70195121951221,70.52097560975609,70.21951219512201,70.0514634146342,70.75512195121951,70.6253658536586,70.70634146341459,71.0129268292683,70.6931707317073,70.7648780487805,70.9719512195122,71.0604878048781,71.4051219512195,71.63536585365858,71.9858536585366,71.97121951219509,72.119756097561,72.77390243902441,72.6980487804878,73.1936585365854,73.2070731707317,73.6217073170732,73.8880487804878,73.86902439024391,74.4048780487805,74.520243902439,74.7317073170732,75.3658536585366,75.5658536585366,75.6326829268293,76.0519512195122,76.1921951219512,76.35121951219509,76.3453658536585,76.6917073170732,76.84073170731709,77.1873170731707,77.37073170731709,77.4731707317073,77.619512195122,77.7219512195122,77.9731707317073,78.07560975609759,78.12926829268291,78.87804878048779,78.9804878048781,79.380487804878,79.78292682926829,79.6804878048781,80.0341463414634,80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,81.2878048780488,80.9926829268293,81.4390243902439,81.4390243902439
16,Benin,BEN,37.271,37.727,38.188,38.655,39.13,39.615,40.109,40.61,41.117,41.63,42.152,42.684,43.229,43.781000000000006,44.336999999999996,44.882,45.398999999999994,45.883,46.335,46.763999999999996,47.19,47.643,48.145,48.71,49.339,50.034,50.79,51.581,52.372,53.132,53.812,54.36600000000001,54.776,55.042,55.174,55.203,55.17,55.133,55.138999999999996,55.218,55.391000000000005,55.668,56.025,56.43600000000001,56.887,57.355,57.817,58.255,58.653999999999996,59.00899999999999,59.318000000000005,59.59,59.842,60.092,60.345,60.608000000000004,60.885,61.174
17,Burkina Faso,BFA,34.431999999999995,34.897,35.369,35.847,36.330999999999996,36.815,37.291,37.754,38.207,38.652,39.095,39.542,40.003,40.493,41.025,41.63,42.343,43.166000000000004,44.081,45.06,46.049,46.983999999999995,47.81,48.486000000000004,48.992,49.323,49.492,49.55,49.545,49.505,49.45399999999999,49.409,49.373999999999995,49.36,49.38,49.445,49.556999999999995,49.713,49.913999999999994,50.168,50.489,50.893,51.38399999999999,51.956,52.602,53.31,54.063,54.841,55.618,56.376999999999995,57.096000000000004,57.761,58.373999999999995,58.937,59.45,59.919,60.354,60.768
18,Bangladesh,BGD,45.379,45.97,46.556999999999995,47.126000000000005,47.648999999999994,48.05,48.236000000000004,48.176,47.888000000000005,47.431999999999995,46.942,46.589,46.507,46.773,47.396,48.313,49.402,50.498000000000005,51.473,52.277,52.9,53.376000000000005,53.794,54.225,54.693000000000005,55.21,55.772,56.358999999999995,56.958,57.571000000000005,58.21,58.891000000000005,59.618,60.388000000000005,61.19,62.001999999999995,62.798,63.553000000000004,64.25,64.881,65.447,65.956,66.43,66.88600000000001,67.331,67.773,68.21300000000001,68.648,69.072,69.485,69.881,70.256,70.60600000000001,70.93,71.23100000000001,71.514,71.785,72.05199999999999
19,Bulgaria,BGR,69.2475609756098,70.1956097560976,69.4919512195122,70.3092682926829,71.1212195121951,71.29390243902441,71.22341463414641,70.41390243902441,71.2251219512195,70.43,71.25634146341459,70.87365853658541,70.899512195122,71.34219512195119,71.2080487804878,71.049756097561,71.3948780487805,70.81609756097559,71.1846341463415,71.3082926829268,71.1575609756098,71.5719512195122,71.1860975609756,71.3863414634146,71.49975609756099,71.2280487804878,71.73073170731709,71.5268292682927,71.6043902439024,71.7224390243903,71.6414634146342,71.5609756097561,71.4943902439024,71.34682926829271,71.20878048780492,71.0534146341464,70.8973170731707,70.3512195121951,71.0609756097561,71.4121951219512,71.66341463414629,71.7682926829268,71.8658536585366,72.0658536585366,72.5634146341463,72.5609756097561,72.6121951219512,72.66341463414629,72.9634146341463,73.4121951219512,73.5121951219512,74.16341463414629,74.31463414634149,74.8609756097561,74.4658536585366,74.6146341463415,74.8121951219512,74.8121951219512
20,Bahrain,BHR,51.869,53.235,54.59,55.911,57.181999999999995,58.388000000000005,59.523999999999994,60.596000000000004,61.608999999999995,62.56,63.449,64.275,65.042,65.757,66.421,67.04,67.616,68.152,68.65100000000001,69.117,69.55,69.95100000000001,70.317,70.65100000000001,70.957,71.237,71.49600000000001,71.736,71.962,72.178,72.39,72.598,72.803,73.006,73.209,73.413,73.619,73.82600000000001,74.033,74.23899999999999,74.44,74.635,74.822,74.999,75.167,75.32600000000001,75.47800000000001,75.625,75.77,75.913,76.057,76.2,76.342,76.484,76.624,76.762,76.899,77.032
21,"Bahamas, The",BHS,64.74,64.885,65.01100000000001,65.12100000000001,65.219,65.31,65.402,65.499,65.607,65.73,65.87,66.031,66.209,66.39699999999999,66.593,66.785,66.962,67.118,67.253,67.372,67.488,67.615,67.76899999999999,67.962,68.196,68.47399999999999,68.793,69.139,69.49600000000001,69.854,70.199,70.518,70.807,71.061,71.27600000000001,71.45100000000001,71.589,71.69800000000001,71.786,71.858,71.914,71.954,71.977,71.986,71.988,71.987,71.988,71.998,72.02199999999999,72.067,72.14399999999999,72.263,72.42399999999999,72.62,72.847,73.08800000000001,73.329,73.554
