,Country_Name,Country_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,1246.75032905458,1416.5861996499,1760.717634441,2124.48115520353,2392.26107515282,2660.60115717135,2947.9355360021195,3372.49289962607,3899.32872843063,4703.1794011843895,5463.24127633961,6453.47700017448,7076.4222119487595,7348.21294282384,7601.84849106528,7744.274916600459,8136.16883983425,8770.751630745079,8406.59299171022,9030.97529861385,9492.03825604026,9940.19163925206,10260.5850219076,10920.8426880891,10370.671129607601,10404.4362134662,10789.950959787,11446.638470276699,12547.6130399103,13989.715666043301,15607.0898690088,16024.345551214199,14113.077260046599,13092.073818263201,12795.569066876498,13399.237948696498,13035.0936407801,13780.7823704952,14526.5880847823,15494.3054718052,15824.6678131824,16864.3833609901
11,Australia,AUS,1807.7857102120602,1874.83894028834,1851.84185074588,1964.1504696359,2128.06835509202,2277.65674202327,2340.43868460617,2576.2845085275,2720.08260948799,2986.94950744786,3299.84320663058,3489.95229368358,3943.7876390396996,4763.72414678031,6473.165152973261,6994.30821815538,7476.7487477451905,7765.07054434927,8242.075831685308,9281.52335605458,10194.3945390856,11833.8209924158,12766.5949486666,11518.6685192068,12431.945848830801,11437.7131376782,11364.326799222901,11624.458213568101,14254.6455959182,17798.0721043221,18211.1393093648,18821.2503388273,18569.5050433214,17633.9779519258,18045.8652617007,20319.6306283956,21861.32550987,23468.5968306374,21318.964169431798,20533.035061906998,21679.2478424147,19490.8611097303,20082.4832672749,23447.0310006717,30430.6764374443,33999.2428575835,36044.922810848504,40960.0544948199,49601.6567082178,42772.3591664498,52022.125596187594,62517.833747150304,68012.1479005934,68150.1070413215,62510.7911705641,56748.420260660496,50019.967767711394,54093.6021908944,57305.2990162045
12,Austria,AUT,935.460426850415,1031.8150043291,1087.8342434189,1167.00053244585,1269.41258289256,1374.53213986075,1486.9686060056601,1569.6671828996698,1677.6735280427201,1825.3861255212398,2058.76907922607,2380.97844333246,2924.04887110057,3890.7224564763396,4630.7572070671,5285.62072414121,5678.386637822729,6810.6277286986,8205.46892702823,9793.76530724628,10869.5464236099,9385.24901832146,9410.34722457985,9537.40743056414,8991.06507601017,9172.096768809759,13083.0726978243,16392.769566581297,17578.6189397397,17468.9461918554,21680.9896863626,22410.911736270402,24880.164070125,24081.5278077646,25646.700659168397,30325.8495818396,29809.0767730821,26705.478599389102,27361.8751106437,27174.2971559775,24564.4582948404,24537.5142629883,26401.7454564357,32222.897241165498,36821.521468009305,38403.1338770715,40635.281815972405,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.708706286394,51717.495940551504,44176.6717431334,45103.329814957804,47380.829636537404,51512.9054751534
13,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324491677,1209.23749284959,676.15151145252,529.8136618432869,436.216868966934,397.198116117247,409.210755159618,505.563774721979,561.907035403795,573.893296585846,655.097432602586,703.683843432722,763.080637985358,883.64399654717,1045.00937916805,1578.40239029603,2473.08181863536,3851.4378687117205,5574.6038021861295,4950.29479142375,5842.805783585761,7189.69122920765,7496.294647682629,7875.75695254288,7891.31314749986,5500.32049702735,3880.7387308955604,4147.08971569171,4721.17808673142
14,Burundi,BDI,70.0517346382971,71.1671882088235,73.43530556137421,78.51432941340771,86.16160645542891,51.381864652960395,52.1826504510569,54.8063925802522,54.900811435191706,55.7150155029885,69.7693039666795,71.62677070668491,69.13940167751589,84.4186415543161,94.68532163737422,113.75312538279199,118.914901523597,142.053020747619,154.51619504879,193.15020230050098,221.231835357164,227.12812002912602,231.343852311749,240.78229208429698,213.616517780925,242.058249056633,245.915428142175,225.071699645207,209.41506342368498,209.89441260543097,208.146755438253,209.77789791740298,190.489013951092,161.88755294688698,156.812301230653,167.098915756122,143.402300109205,158.914669880487,144.493064021934,128.939083280584,136.46397080033998,134.363447507999,123.117627963477,113.567366369381,128.336612834582,151.681463366485,167.376484505492,172.495859926837,198.35290055506303,212.136880390025,234.23564687499902,249.577979366801,252.35897985834401,256.976002796754,274.85794791384603,305.549772797441,282.149681511209,293.009061990821,275.42960328531797
15,Belgium,BEL,1273.69165910289,1350.19767333123,1438.5232330684,1535.02372901043,1701.84627554319,1835.5947655319396,1957.6260804276199,2086.63600544654,2222.3615105191298,2458.0818200377303,2780.6961867832697,3099.43015794539,3852.14172933289,4927.1959234948,5764.48988319245,6737.24825069324,7281.8177353643005,8472.0544682791,10344.8471326448,11873.835404482099,12932.8605964577,10679.663892360699,9393.87669193076,8893.58613003995,8502.53859675867,8797.65967886135,12235.184137448201,15216.8710172156,16478.831592157,16613.516652258,20710.6443430806,21154.2918385501,23497.7274067423,22403.2168180008,24338.1377018161,28565.919151606602,27701.903287058998,25027.7445890682,25541.674723365602,25444.1392583071,23207.405911007798,23121.6011440246,25052.339390085497,30743.9025377208,35589.6891168402,36967.259183968796,38852.3729277437,44403.7668991523,48424.575596314695,44880.573019622694,44380.1766327308,47743.7805335086,44826.439611664806,46680.3898229483,47355.3120057387,40441.0520422361,41449.097361231004,43507.2382031326,46556.0995671478
16,Benin,BEN,93.02250899071069,95.5721547147448,94.4645349843821,99.8591138855553,104.339768039886,110.13279383511299,112.940836383512,111.951601925238,116.89506602186,116.025094341185,114.556596466987,112.570089087637,134.819407935009,161.987373671434,174.014149085561,207.30043974547297,208.656153830514,218.4543657692,263.581057550946,327.821677993792,378.043898303902,337.978194739187,322.77769945337,271.129240225224,252.86978504478802,244.41099885846901,303.348897858296,344.503070791789,346.736037681422,311.678303860822,393.68621442353106,385.753616012638,317.962855286116,411.92603052228304,279.666504326806,367.387341032599,387.432924636251,361.100269794441,379.442353954477,403.623703839155,374.192394159235,378.736053976421,418.69857634710297,519.292284661195,583.409351430682,601.7999769588749,625.830015812664,706.053374882171,820.150878301122,793.452252617998,757.695907409377,825.940340926735,837.942920903364,915.315621163215,943.674649189169,783.963077800944,788.5491964509861,827.429810110093,901.954052193336
17,Burkina Faso,BFA,68.424748569325,71.558180092437,76.5206113987061,78.372071942432,80.47276674551891,81.72511549550191,82.5456368946943,84.3631649403545,84.7330493468762,86.5202111123235,81.4998986817012,84.2878150139644,99.32676402498659,113.780584338816,124.359030451525,152.728220114244,155.64899796029601,176.78336766629502,225.941652537233,262.076009642159,282.68573529959497,254.23078067511102,245.09470243903,217.994750842831,193.84324028470903,200.8944225118,256.762318808596,291.131963880905,313.061891095721,304.853438781463,351.97932285253603,346.410672442444,240.96348098040298,244.127073499416,193.070236298833,235.83219729976898,249.360294415648,229.493117735387,255.71823338169997,265.340115553605,226.47598136698,235.49123243618698,260.763541319743,332.344305065633,371.323086483012,406.998807060623,420.58255370512705,475.110012184526,569.7613172065879,552.7455886127391,575.446452687734,666.840119798738,673.821598361542,699.779405632453,703.820055595173,575.3144541763111,583.8326202998901,642.040426480339,731.171716967411
18,Bangladesh,BGD,89.0352412832723,97.59527391081491,100.12211579079,101.901414464052,100.221113507985,106.64664823646,112.665358839312,122.870630560939,122.847593497904,135.147381311241,140.002714037943,133.551423017287,94.3816784627895,119.55974337532301,182.019989366781,277.570640891354,141.197168777034,131.373243400085,176.03394976502,200.769664090984,227.751946526218,247.649619808649,220.718810111852,204.417678191801,213.99665793228803,245.453904178514,233.658047126004,253.974463110316,270.69960091549,285.829214029315,306.268703808998,293.16041551725897,293.644998454253,300.555753175017,299.533039744954,329.42408464307204,394.717475124248,401.49869081414704,407.429186160797,409.54319685360804,418.068968311378,415.03442662014703,413.080254575162,446.310659190362,475.29191978693495,499.46194023915604,509.640142873216,558.051860266708,634.987056467494,702.264410019296,781.153593557047,861.758444349051,883.1050005413131,981.839879150399,1118.8536634927,1248.45339778371,1401.6206282151502,1563.99408178663,1698.26280233547
19,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,2238.8029578657397,2234.81481573125,2169.00401089683,1852.81343442802,1963.5726761827398,1914.55064658793,2260.4272811545,3132.3013603624604,2511.3930625948897,2477.0208179595998,2366.52982128614,1267.73437541485,1211.98087810931,1278.24717346108,1148.4943993817,2244.51690949043,1457.03561893337,1348.82756797792,1809.6838447288396,1648.1048589562602,1609.88245178581,1757.44377980694,2076.83068237844,2698.62424839705,3363.7996442181297,3869.5294551051097,4490.20177692701,5885.949251979549,7261.754492002769,6969.558556683571,6843.26694975885,7813.80669236432,7378.02473005713,7646.83986554542,7864.76067225524,6993.783482673871,7469.45563823624,8228.011569726501,9272.62930360848
20,Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,8537.92937933215,9269.26961652991,9446.158001946009,9421.2856547764,9590.73020168943,8706.76660148502,7041.60195861695,7555.100464480551,7958.747924585391,8030.90465921389,8528.98333446095,9055.67993615686,9082.75853260694,9698.18906295446,10130.505232961701,10376.9717049211,10544.7035702291,10672.166005162,10076.220622037901,10401.5458114095,13636.4082371396,12868.2847884595,13102.3702137963,14222.047384216,15846.5527922346,17959.2593286527,19307.9149092456,20976.5435328438,23066.509898321,19355.904672026398,20722.1372891348,22514.2379458146,23654.3513912828,24744.3576319157,24989.4001204704,22688.944399814398,22619.1166718849,23715.4827473156,24050.7575053956
21,"Bahamas, The",BHS,1550.23939204838,1651.28898476982,1752.85448101663,1867.02501228387,1994.38083200582,2144.7544025214,2322.68994821768,2556.65101842073,2804.33387615547,3215.0951792312603,3178.84455205025,3297.50588018794,3322.1638761764502,3696.0725441694203,3416.1624891962,3156.2341182449604,3328.51240740453,3617.43471621149,4131.46844816804,5533.43997592046,6340.726811687111,6624.838616795,7168.095774443191,7698.45924188303,8877.31979836728,9893.084176691758,10344.4524866432,11156.2820886994,11387.709081798,12163.681360806899,12356.4238963715,11919.7878992215,11686.695811358899,11406.689809605701,11814.5631983063,12238.3862033521,12708.730958032,22036.4841069328,23514.4203140432,26130.1018152634,27097.6108115725,27486.2367737544,28866.8010141065,28327.2708691945,28395.9246646221,30278.3669222647,30713.705280138198,31472.09897181,30627.2386311725,28552.1904783698,28443.4076553352,28006.379718391298,29485.6209294138,28944.7882168381,29563.746347465,31512.856554945698,31325.294828950297,31857.890145929,
22,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.013035138564,487.476777199738,740.098506846976,982.801849065598,1102.39098330014,1251.74726073687,1467.77647716048,1530.81481604112,1769.1998279224103,2224.7458643849,2814.9998948741,2980.60210893151,3416.51059575812,4193.3736517833,5090.93234464687,4714.7024950516,4635.51777931783,5092.5519432889505,4778.63608845506,5131.39450642932,5329.63504488766,4727.277546222071,4994.68314045091,5394.59122017677,5951.32329883943
23,Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.8405142801103,1765.74455562095,1667.6817773137302,1590.0958819745301,1460.0590758956,1370.67655885011,1452.44548758328,1396.5017856782001,1511.7700526788299,1210.6117195862,1276.2880340999998,1244.37318523431,1479.31458271677,1819.7660592617701,2378.62328600741,3125.8105350285305,3847.4341238215297,4735.657607939989,6377.36973201232,5351.355382432779,6181.399915687529,6519.230194988921,6940.15925359735,7978.872614710759,8318.51268992675,5949.106306997479,5022.62664330491,5761.747120230071,6289.93855308212
24,Belize,BLZ,304.917107253962,316.403606143266,327.126867468401,336.94146611457,351.161126269562,377.59430516618204,406.09796707357697,420.431888198165,386.95323701087005,396.65430628249703,435.690469415558,474.444216207405,519.563507668109,605.933440702651,786.069092043881,885.984529060044,717.040182885396,858.828081086803,980.8225092649229,1074.27196489862,1373.09300703606,1328.8281491424,1202.68202630831,1232.83737826059,1336.9875895363198,1289.36728897294,1366.04972952188,1612.451575183,1787.95138342857,2011.96872880293,2197.1850233118103,2326.82155414173,2666.8815998023897,2832.97532663367,2880.12544625149,2996.3829283495097,3001.83372023364,2952.94859644372,2992.4447542607,3065.97967261955,3364.42371065241,3418.21667588008,3554.23034705654,3675.8803006402504,3825.7873303822,3926.0137420718797,4178.9253730318605,4315.8349636318,4460.63414411566,4243.433284073029,4331.43451672125,4501.60263689411,4626.7096153846205,4652.50900308057,4790.94126203427,4883.179011063,4904.0343376764395,4956.8080389814,5025.17810014332
25,Bermuda,BMU,1902.4021189224,1961.5381692465,2020.38596503345,2020.2652475244502,2199.72700691179,2282.21654616239,2630.8504663294602,2982.7497042610803,2830.18867924528,3053.7037037037,3387.27272727273,3866.3003663003706,4343.17343173432,5009.2936802974,5853.932584269661,6509.43396226415,7261.2781954887205,8370.78651685393,8876.86567164179,9613.38289962825,11218.2178159868,13425.976966394199,14166.171292539098,15902.020382621102,17469.8255675877,18269.535519701898,20450.6645289464,22411.795674946803,24253.175518878397,25517.9217212488,26841.5197383946,27700.309516951602,28669.6822595785,30900.6948905109,31476.063115306803,33989.7223579821,44826.7890701658,48478.883250409104,51371.7408069836,54245.459737293,56284.168647809405,58883.9594265967,62583.1002034588,66111.7252270036,70359.3191088798,75882.0338560339,83912.6977976846,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886,85748.0654143782,,,,,
