Year,Aruba
1971,58.718
1972,59.232
1973,59.745
1974,60.258
1975,60.774
1976,61.298
1977,61.834
1978,62.382
1979,62.942
1980,63.512
1981,64.089
1982,64.669
1983,65.246
1984,65.814
1985,66.371
1986,66.911
1987,67.436
1988,67.943
1989,68.431
1990,68.899
1991,69.347
1992,69.777
1993,70.189
1994,70.587
1995,70.972
1996,71.348
1997,71.716
1998,72.075
1999,72.425
2000,72.761
2001,73.078
2002,73.371
2003,73.641
2004,73.887
2005,74.112
2006,74.319
2007,74.514
2008,74.705
2009,74.895
2010,75.089
2011,75.289
2012,75.495
2013,75.707
2014,75.923
2015,76.143
2016,76.365
2017,76.584
Country_Name,"Egypt, Arab Rep."
1960,48.042
1961,48.609
1962,49.134
1963,49.628
1964,50.101
1965,50.545
1966,50.945
1967,51.292
1968,51.592
1969,51.865
1970,52.146
1971,52.479
1972,52.894
1973,53.408
1974,54.021
1975,54.717
1976,55.465
1977,56.222
1978,56.958
1979,57.659
1980,58.332
1981,58.995
1982,59.671
1983,60.372
1984,61.091
1985,61.806
1986,62.487
1987,63.11
1988,63.662
1989,64.143
1990,64.572
1991,64.978
1992,65.392
1993,65.831
1994,66.298
1995,66.779
1996,67.249
1997,67.68
1998,68.051
1999,68.357
2000,68.602
2001,68.796
2002,68.961
2003,69.116
2004,69.271
2005,69.434
2006,69.608
2007,69.788
2008,69.971
2009,70.159
2010,70.349
2011,70.543
2012,70.736
2013,70.928
2014,71.117
2015,71.302
2016,71.482
2017,71.656
Country_Name,Euro area
1960,69.29058091
1961,69.66027111
1962,69.61739226
1963,69.78554508
1964,70.244306
1965,70.3291237
1966,70.60485701
1967,70.74398972
1968,70.79340931
1969,70.79960132
1970,71.15815158
1971,71.26596774
1972,71.60541089
1973,71.70035161
1974,72.02606205
1975,72.16923441
1976,72.43466829
1977,72.79004212
1978,73.0111208
1979,73.33436588
1980,73.52860666
1981,73.8113852
1982,74.15439696
1983,74.22894198
1984,74.58734663
1985,74.75718779
1986,75.05677778
1987,75.34820614
1988,75.53593039
1989,75.76188346
1990,75.91180788
1991,76.02616245
1992,76.38125681
1993,76.48795161
1994,76.79627392
1995,76.95586059
1996,77.21844945
1997,77.58153601
1998,77.79717888
1999,78.02123653
2000,78.27507038
2001,78.59711254
2002,78.68446788
2003,78.7071795
2004,79.27870163
2005,79.426283
2006,79.85613242
2007,80.09988189
2008,80.30291582
2009,80.50518154
2010,80.74678098
2011,81.23282485
2012,81.22715817
2013,81.51232873
2014,81.9334344
2015,81.56932908
2016,81.94592967
2017,81.95073042
Country_Name,Eritrea
1960,38.419
1961,39.075
1962,39.693
1963,40.259
1964,40.768
1965,41.221
1966,41.63
1967,42.015
1968,42.394
1969,42.773
1970,43.156
1971,43.545
1972,43.934
1973,44.316
1974,44.691
1975,45.054
1976,45.404
1977,45.739
1978,46.059
1979,46.364
1980,46.654
1981,46.927
1982,47.187
1983,47.441
1984,47.695
1985,47.956
1986,48.23
1987,48.522
1988,48.841
1989,49.192
1990,49.588
1991,50.04
1992,50.545
1993,51.1
1994,51.696
1995,52.316
1996,52.938
1997,53.548
1998,54.137
1999,54.707
2000,55.273
2001,55.864
2002,56.5
2003,57.191
2004,57.932
2005,58.707
2006,59.487
2007,60.243
2008,60.952
2009,61.602
2010,62.193
2011,62.732
2012,63.238
2013,63.726
2014,64.201
2015,64.664
2016,65.111
2017,65.538
Country_Name,Spain
1960,69.10926829
1961,69.4804878
1962,69.51902439
1963,69.68121951
1964,70.3997561
1965,70.80926829
1966,71.05512195
1967,71.25292683
1968,71.53780488
1969,71.05756098
1970,72.02731707
1971,71.6302439
1972,72.81804878
1973,72.61073171
1974,72.9697561
1975,73.31878049
1976,73.64268293
1977,74.13195122
1978,74.29560976
1979,74.81878049
1980,75.34926829
1981,75.52853659
1982,76.13414634
1983,75.90902439
1984,76.29536585
1985,76.2595122
1986,76.5104878
1987,76.72804878
1988,76.74707317
1989,76.81365854
1990,76.83756098
1991,76.97121951
1992,77.41
1993,77.54658537
1994,77.90146341
1995,77.98073171
1996,78.1204878
1997,78.60414634
1998,78.66585366
1999,78.71707317
2000,78.96585366
2001,79.36829268
2002,79.56829268
2003,79.6195122
2004,79.87073171
2005,80.17073171
2006,80.82195122
2007,80.87317073
2008,81.17560976
2009,81.47560976
2010,81.62682927
2011,82.47560976
2012,82.42682927
2013,83.07804878
2014,83.22926829
2015,82.83170732
2016,83.32926829
2017,83.32926829
Country_Name,Estonia
1960,67.90290244
1961,68.36080488
1962,68.74102439
1963,69.05356098
1964,69.30992683
1965,69.51763415
1966,69.68119512
1967,69.80212195
1968,69.88292683
1969,69.92809756
1970,69.93709756
1971,69.90534146
1972,69.83282927
1973,69.72458537
1974,69.59021951
1975,69.44131707
1976,69.29002439
1977,69.14695122
1978,69.02626829
1979,68.93858537
1980,68.90563415
1981,68.97804878
1982,69.12682927
1983,69.37560976
1984,69.27804878
1985,69.3804878
1986,70.08536585
1987,70.64390244
1988,70.69756098
1989,70.03902439
1990,69.47560976
1991,69.37317073
1992,68.86341463
1993,67.9097561
1994,66.5
1995,67.54390244
1996,69.61219512
1997,69.8097561
1998,69.35853659
1999,70.06341463
2000,70.41707317
2001,70.25853659
2002,70.90487805
2003,71.31707317
2004,71.9097561
2005,72.56829268
2006,72.69146341
2007,72.81463415
2008,73.77073171
2009,74.82439024
2010,75.42926829
2011,76.22926829
2012,76.32682927
2013,77.14146341
2014,77.03414634
2015,77.5902439
2016,77.64146341
2017,77.64146341
Country_Name,Ethiopia
1960,38.419
1961,39.082
1962,39.711
1963,40.29
1964,40.81
1965,41.267
1966,41.668
1967,42.026
1968,42.355
1969,42.659
1970,42.944
1971,43.213
1972,43.465
1973,43.693
1974,43.894
1975,44.044
1976,44.116
1977,44.103
1978,44.016
1979,43.881
1980,43.747
1981,43.675
1982,43.712
1983,43.885
1984,44.199
1985,44.633
1986,45.147
1987,45.682
1988,46.194
1989,46.667
1990,47.099
1991,47.504
1992,47.911
1993,48.344
1994,48.81
1995,49.303
1996,49.81
1997,50.32
1998,50.835
1999,51.366
2000,51.941
2001,52.595
2002,53.349
2003,54.211
2004,55.174
2005,56.223
2006,57.334
2007,58.467
2008,59.581
2009,60.645
2010,61.627
2011,62.505
2012,63.281
2013,63.961
2014,64.547
2015,65.048
2016,65.482
2017,65.872
Country_Name,European Union
1960,69.29047523
1961,69.59970343
1962,69.52403056
1963,69.76786127
1964,70.23386622
1965,70.34373635
1966,70.57344078
1967,70.68265621
1968,70.728257
1969,70.6833296
1970,70.99867018
1971,71.10676461
1972,71.41484949
1973,71.53494021
1974,71.82557612
1975,71.92121801
1976,72.12566973
1977,72.40933474
1978,72.52424789
1979,72.76832251
1980,72.86311955
1981,73.20244457
1982,73.46406355
1983,73.5272421
1984,73.80245969
1985,73.87677091
1986,74.144908
1987,74.38815487
1988,74.57788459
1989,74.74372503
1990,74.86845016
1991,74.9686285
1992,75.28788947
1993,75.3958192
1994,75.69150135
1995,75.81582448
1996,76.06705169
1997,76.36140249
1998,76.59573699
1999,76.8258219
2000,77.1584252
2001,77.49405516
2002,77.60673668
2003,77.69438682
2004,78.19377286
2005,78.36572858
2006,78.73979368
2007,78.96911952
2008,79.183957
2009,79.44311802
2010,79.7256373
2011,80.2398704
2012,80.25122103
2013,80.53224137
2014,80.91933139
2015,80.62059281
2016,80.97470527
2017,80.99115581
Country_Name,Fragile and conflict affected situations
1960,40.79548923
1961,41.32022607
1962,41.85033678
1963,42.38939225
1964,42.93913853
1965,43.49859176
1966,44.06464004
1967,44.63045702
1968,45.19006931
1969,45.74063678
1970,46.27979905
1971,46.80783913
1972,47.32446774
1973,47.82721966
1974,48.31212399
1975,48.77349681
1976,49.20591511
1977,49.61040258
1978,49.99392554
1979,50.36555883
1980,50.73711008
1981,51.23031231
1982,51.62783433
1983,52.04010331
1984,52.46254558
1985,52.88512165
1986,53.2967409
1987,53.6872017
1988,54.03369923
1989,54.33946062
1990,54.70019621
1991,54.91233657
1992,55.08560127
1993,55.2335756
1994,55.36820044
1995,55.50191599
1996,55.64677911
1997,55.81217476
1998,55.99728211
1999,56.20405373
2000,56.46930924
2001,56.77024212
2002,57.10518909
2003,57.46755263
2004,57.85231443
2005,58.25515008
2006,58.67395966
2007,59.10354419
2008,59.53655657
2009,59.96669328
2010,60.39157326
2011,60.81368844
2012,61.23525951
2013,61.65373131
2014,62.0616813
2015,62.45077645
2016,62.81486122
2017,63.15109546
Country_Name,Finland
1960,68.8197561
1961,68.84414634
1962,68.57780488
1963,69.01268293
1964,69.22097561
1965,68.97780488
1966,69.47707317
1967,69.66658537
1968,69.61634146
1969,69.50341463
1970,70.1795122
1971,70.01756098
1972,70.70731707
1973,71.22365854
1974,71.13487805
1975,71.67365854
1976,71.81292683
1977,72.3502439
1978,72.89707317
1979,73.15536585
1980,73.44
1981,73.74658537
1982,74.29804878
1983,74.20097561
1984,74.51902439
1985,74.22292683
1986,74.56
1987,74.59195122
1988,74.57707317
1989,74.79219512
1990,74.81317073
1991,75.22756098
1992,75.45536585
1993,75.70512195
1994,76.39560976
1995,76.4095122
1996,76.69341463
1997,76.87853659
1998,77.09073171
1999,77.29121951
2000,77.46585366
2001,77.96585366
2002,78.1195122
2003,78.36829268
2004,78.71463415
2005,78.81707317
2006,79.21463415
2007,79.26341463
2008,79.56829268
2009,79.7195122
2010,79.87073171
2011,80.47073171
2012,80.62682927
2013,80.97560976
2014,81.1804878
2015,81.4804878
2016,81.42926829
2017,81.42926829
Country_Name,Fiji
1960,60.811
1961,61.172
1962,61.478
1963,61.741
1964,61.967
1965,62.157
1966,62.302
1967,62.401
1968,62.456
1969,62.481
1970,62.492
1971,62.512
1972,62.555
1973,62.633
1974,62.752
1975,62.913
1976,63.11
1977,63.327
1978,63.552
1979,63.776
1980,63.997
1981,64.217
1982,64.436
1983,64.651
1984,64.857
1985,65.041
1986,65.19
1987,65.299
1988,65.365
1989,65.391
1990,65.379
1991,65.336
1992,65.278
1993,65.218
1994,65.17
1995,65.15
1996,65.175
1997,65.246
1998,65.36
1999,65.512
2000,65.687
2001,65.863
2002,66.022
2003,66.152
2004,66.247
2005,66.313
2006,66.362
2007,66.413
2008,66.477
2009,66.559
2010,66.655
2011,66.759
2012,66.859
2013,66.95
2014,67.03
2015,67.103
2016,67.175
2017,67.252
Country_Name,France
1960,69.86829268
1961,70.11707317
1962,70.31463415
1963,70.51463415
1964,70.66341463
1965,70.81219512
1966,70.96097561
1967,71.16097561
1968,71.3097561
1969,71.45853659
1970,71.65853659
1971,71.90731707
1972,72.10731707
1973,72.35609756
1974,72.60487805
1975,72.85365854
1976,73.10243902
1977,73.35121951
1978,73.60243902
1979,73.85121951
1980,74.05121951
1981,74.3
1982,74.5
1983,74.8
1984,75
1985,75.3
1986,75.6
1987,75.8
1988,76.1
1989,76.34878049
1990,76.6
1991,76.84878049
1992,77.1
1993,77.3
1994,77.64878049
1995,77.75121951
1996,77.95365854
1997,78.30487805
1998,78.60487805
1999,78.75609756
2000,79.05609756
2001,79.15853659
2002,79.26097561
2003,79.11463415
2004,80.16341463
2005,80.16341463
2006,80.81219512
2007,81.11219512
2008,81.21463415
2009,81.41463415
2010,81.66341463
2011,82.11463415
2012,81.96829268
2013,82.2195122
2014,82.67073171
2015,82.32195122
2016,82.52439024
2017,82.52439024
Country_Name,Faroe Islands
1973,74.49756098
1978,75.98536585
1986,75.21463415
1987,75.46585366
1988,75.71463415
1989,75.91463415
1990,76.11463415
1991,76.41463415
1992,76.61463415
1993,76.81463415
1994,77.06585366
1995,77.36829268
1996,77.57073171
1997,77.82439024
1998,78.02682927
1999,78.2804878
2000,78.43414634
2001,78.63658537
2002,78.78780488
2003,78.9902439
2004,79.1902439
2005,79.44146341
2006,79.6902439
2007,79.8902439
2008,80.13902439
2009,80.38780488
2010,80.58780488
2011,80.8902439
2012,81.14146341
2013,81.39268293
2014,81.69512195
2015,81.94634146
2016,82.19756098
2017,82.4
Country_Name,"Micronesia, Fed. Sts."
1960,54.513
1961,54.954
1962,55.396
1963,55.838
1964,56.279
1965,56.717
1966,57.153
1967,57.585
1968,58.012
1969,58.434
1970,58.851
1971,59.265
1972,59.675
1973,60.079
1974,60.473
1975,60.85
1976,61.206
1977,61.535
1978,61.834
1979,62.1
1980,62.331
1981,62.528
1982,62.693
1983,62.834
1984,62.955
1985,63.064
1986,63.169
1987,63.273
1988,63.38
1989,63.492
1990,63.605
1991,63.715
1992,63.814
1993,63.901
1994,63.978
1995,64.049
1996,64.121
1997,64.202
1998,64.298
1999,64.413
2000,64.55
2001,64.71
2002,64.888
2003,65.08
2004,65.282
2005,65.489
2006,65.697
2007,65.901
2008,66.099
2009,66.29
2010,66.471
2011,66.646
2012,66.817
2013,66.986
2014,67.152
2015,67.315
2016,67.471
2017,67.618
Country_Name,Gabon
1960,39.694
1961,40.082
1962,40.56
1963,41.149
1964,41.849
1965,42.651
1966,43.528
1967,44.442
1968,45.357
1969,46.255
1970,47.125
1971,47.967
1972,48.793
1973,49.612
1974,50.425
1975,51.234
1976,52.041
1977,52.848
1978,53.652
1979,54.452
1980,55.252
1981,56.061
1982,56.873
1983,57.674
1984,58.444
1985,59.153
1986,59.767
1987,60.266
1988,60.633
1989,60.865
1990,60.965
1991,60.944
1992,60.833
1993,60.659
1994,60.439
1995,60.175
1996,59.854
1997,59.479
1998,59.066
1999,58.646
2000,58.264
2001,57.968
2002,57.791
2003,57.759
2004,57.885
2005,58.181
2006,58.641
2007,59.229
2008,59.904
2009,60.637
2010,61.4
2011,62.168
2012,62.924
2013,63.648
2014,64.318
2015,64.913
2016,65.418
2017,65.839
Country_Name,United Kingdom
1960,71.12682927
1961,70.87804878
1962,70.92682927
1963,70.82682927
1964,71.62439024
1965,71.62439024
1966,71.57317073
1967,72.12439024
1968,71.72439024
1969,71.72195122
1970,71.97317073
1971,72.27317073
1972,72.12439024
1973,72.32439024
1974,72.52439024
1975,72.72439024
1976,72.77560976
1977,73.22439024
1978,73.17560976
1979,73.27560976
1980,73.67560976
1981,74.02682927
1982,74.17804878
1983,74.37804878
1984,74.77804878
1985,74.62926829
1986,74.92926829
1987,75.2804878
1988,75.3804878
1989,75.58292683
1990,75.8804878
1991,76.08292683
1992,76.43414634
1993,76.38536585
1994,76.88536585
1995,76.83658537
1996,77.08780488
1997,77.21097561
1998,77.1902439
1999,77.3902439
2000,77.74146341
2001,77.99268293
2002,78.14390244
2003,78.44634146
2004,78.74634146
2005,79.04878049
2006,79.24878049
2007,79.44878049
2008,79.6
2009,80.05121951
2010,80.40243902
2011,80.95121951
2012,80.90487805
2013,81.00487805
2014,81.30487805
2015,80.95609756
2016,81.15609756
2017,81.15609756
Country_Name,Georgia
1960,63.651
1961,64.058
1962,64.469
1963,64.881
1964,65.291
1965,65.694
1966,66.084
1967,66.455
1968,66.805
1969,67.136
1970,67.452
1971,67.766
1972,68.082
1973,68.401
1974,68.718
1975,69.014
1976,69.266
1977,69.461
1978,69.592
1979,69.665
1980,69.7
1981,69.726
1982,69.768
1983,69.844
1984,69.954
1985,70.088
1986,70.226
1987,70.339
1988,70.407
1989,70.425
1990,70.386
1991,70.29
1992,70.156
1993,70.003
1994,69.849
1995,69.718
1996,69.635
1997,69.613
1998,69.654
1999,69.756
2000,69.902
2001,70.065
2002,70.22
2003,70.349
2004,70.451
2005,70.538
2006,70.635
2007,70.765
2008,70.946
2009,71.18
2010,71.46
2011,71.773
2012,72.097
2013,72.412
2014,72.707
2015,72.973
2016,73.207
2017,73.414
Country_Name,Ghana
1960,45.843
1961,46.279
1962,46.696
1963,47.093
1964,47.469
1965,47.823
1966,48.155
1967,48.469
1968,48.768
1969,49.057
1970,49.34
1971,49.625
1972,49.912
1973,50.206
1974,50.507
1975,50.811
1976,51.113
1977,51.409
1978,51.698
1979,51.984
1980,52.277
1981,52.585
1982,52.92
1983,53.286
1984,53.685
1985,54.127
1986,54.622
1987,55.159
1988,55.717
1989,56.271
1990,56.776
1991,57.182
1992,57.462
1993,57.605
1994,57.62
1995,57.528
1996,57.366
1997,57.187
1998,57.045
1999,56.972
2000,57.002
2001,57.158
2002,57.425
2003,57.785
2004,58.225
2005,58.719
2006,59.234
2007,59.741
2008,60.216
2009,60.645
2010,61.03
2011,61.381
2012,61.72
2013,62.064
2014,62.416
2015,62.772
2016,63.124
2017,63.463
Country_Name,Guinea
1960,34.89
1961,35.086
1962,35.266
1963,35.432
1964,35.588
1965,35.74
1966,35.89
1967,36.048
1968,36.222
1969,36.421
1970,36.655
1971,36.932
1972,37.255
1973,37.624
1974,38.041
1975,38.502
1976,39
1977,39.527
1978,40.082
1979,40.667
1980,41.3
1981,42.002
1982,42.783
1983,43.64
1984,44.558
1985,45.52
1986,46.503
1987,47.474
1988,48.399
1989,49.247
1990,49.987
1991,50.593
1992,51.066
1993,51.413
1994,51.64
1995,51.744
1996,51.727
1997,51.616
1998,51.456
1999,51.295
2000,51.203
2001,51.255
2002,51.484
2003,51.901
2004,52.499
2005,53.238
2006,54.052
2007,54.864
2008,55.614
2009,56.279
2010,56.861
2011,57.387
2012,57.905
2013,58.447
2014,59.016
2015,59.598
2016,60.17
2017,60.706
Country_Name,"Gambia, The"
1960,32.054
1961,32.336
1962,32.67
1963,33.07
1964,33.543
1965,34.097
1966,34.735
1967,35.445
1968,36.211
1969,37.023
1970,37.868
1971,38.734
1972,39.61
1973,40.485
1974,41.352
1975,42.205
1976,43.047
1977,43.882
1978,44.712
1979,45.533
1980,46.341
1981,47.133
1982,47.903
1983,48.645
1984,49.348
1985,49.998
1986,50.577
1987,51.082
1988,51.518
1989,51.892
1990,52.221
1991,52.528
1992,52.834
1993,53.157
1994,53.508
1995,53.889
1996,54.296
1997,54.715
1998,55.133
1999,55.547
2000,55.956
2001,56.359
2002,56.761
2003,57.159
2004,57.553
2005,57.939
2006,58.313
2007,58.671
2008,59.012
2009,59.334
2010,59.637
2011,59.917
2012,60.178
2013,60.426
2014,60.667
2015,60.91
2016,61.166
2017,61.44
Country_Name,Guinea-Bissau
1960,37.478
1961,37.752
1962,38.042
1963,38.349
1964,38.671
1965,39.004
1966,39.343
1967,39.679
1968,40.01
1969,40.333
1970,40.649
1971,40.961
1972,41.276
1973,41.597
1974,41.925
1975,42.263
1976,42.612
1977,42.97
1978,43.333
1979,43.697
1980,44.056
1981,44.402
1982,44.733
1983,45.046
1984,45.342
1985,45.627
1986,45.907
1987,46.19
1988,46.481
1989,46.783
1990,47.095
1991,47.411
1992,47.726
1993,48.038
1994,48.348
1995,48.658
1996,48.973
1997,49.301
1998,49.642
1999,49.999
2000,50.368
2001,50.744
2002,51.123
2003,51.501
2004,51.883
2005,52.275
2006,52.691
2007,53.136
2008,53.612
2009,54.113
2010,54.628
2011,55.144
2012,55.645
2013,56.117
2014,56.556
2015,56.959
2016,57.328
2017,57.673
Country_Name,Equatorial Guinea
1960,36.535
1961,36.872
1962,37.208
1963,37.542
1964,37.874
1965,38.205
1966,38.536
1967,38.866
1968,39.195
1969,39.525
1970,39.848
1971,40.156
1972,40.448
1973,40.732
1974,41.021
1975,41.344
1976,41.738
1977,42.218
1978,42.788
1979,43.435
1980,44.127
1981,44.819
1982,45.466
1983,46.039
1984,46.528
1985,46.938
1986,47.293
1987,47.63
1988,47.981
1989,48.36
1990,48.775
1991,49.229
1992,49.708
1993,50.2
1994,50.694
1995,51.184
1996,51.659
1997,52.112
1998,52.538
1999,52.93
2000,53.279
2001,53.581
2002,53.84
2003,54.064
2004,54.263
2005,54.449
2006,54.638
2007,54.842
2008,55.07
2009,55.329
2010,55.622
2011,55.945
2012,56.288
2013,56.642
2014,57.001
2015,57.359
2016,57.713
2017,58.061
Country_Name,Greece
1960,68.16390244
1961,68.54863415
1962,68.89226829
1963,69.18570732
1964,69.42943902
1965,69.638
1966,69.83746341
1967,70.05246341
1968,70.30256098
1969,70.58929268
1970,70.90363415
1971,71.22656098
1972,71.535
1973,71.81485366
1974,72.06463415
1975,72.29370732
1976,72.51956098
1977,72.76165854
1978,73.03107317
1979,73.32936585
1980,73.64714634
1981,73.9694878
1982,74.279
1983,74.56585366
1984,74.82912195
1985,75.0785122
1986,75.32970732
1987,75.59814634
1988,75.8912439
1989,76.68780488
1990,76.93902439
1991,77.13658537
1992,77.38292683
1993,77.3902439
1994,77.63902439
1995,77.58536585
1996,77.68536585
1997,78.13658537
1998,77.83902439
1999,77.98780488
2000,77.88780488
2001,78.38780488
2002,78.64146341
2003,78.84146341
2004,79.03902439
2005,79.23902439
2006,79.43902439
2007,79.43902439
2008,79.93902439
2009,80.18780488
2010,80.38780488
2011,80.73170732
2012,80.63414634
2013,81.28536585
2014,81.38536585
2015,81.03658537
2016,81.38780488
2017,81.38780488
Country_Name,Grenada
1960,62.231
1961,62.657
1962,63.064
1963,63.451
1964,63.817
1965,64.161
1966,64.484
1967,64.789
1968,65.077
1969,65.352
1970,65.619
1971,65.88
1972,66.139
1973,66.395
1974,66.649
1975,66.895
1976,67.13
1977,67.347
1978,67.545
1979,67.723
1980,67.879
1981,68.012
1982,68.128
1983,68.234
1984,68.341
1985,68.462
1986,68.612
1987,68.798
1988,69.024
1989,69.292
1990,69.598
1991,69.937
1992,70.295
1993,70.659
1994,71.015
1995,71.356
1996,71.673
1997,71.964
1998,72.226
1999,72.455
2000,72.648
2001,72.805
2002,72.929
2003,73.023
2004,73.088
2005,73.123
2006,73.125
2007,73.096
2008,73.038
2009,72.96
2010,72.867
2011,72.768
2012,72.669
2013,72.579
2014,72.503
2015,72.445
2016,72.408
2017,72.388
Country_Name,Greenland
1978,63.41463415
1979,63.95487805
1980,63.4497561
1981,63.07487805
1982,63.19268293
1983,63.3
1984,63.46658537
1985,63.83365854
1986,64.24878049
1987,64.65414634
1988,64.58243902
1989,64.66756098
1990,65.06829268
1991,65.03170732
1992,65.19609756
1993,65.58536585
1994,65.90097561
1995,65.64414634
1996,65.76731707
1997,65.79804878
1998,66.15707317
1999,66.40341463
2000,66.96341463
2001,67.60780488
2002,68.16268293
2003,68.43536585
2004,68.80682927
2005,69.22073171
2006,69.51926829
2007,69.98268293
2008,70.21341463
2009,70.46780488
2010,70.85707317
2011,71.06243902
2012,71.29902439
2013,71.8304878
2014,71.53841463
2015,71.24634146
Country_Name,Guatemala
1960,46.702
1961,47.219
1962,47.75
1963,48.295
1964,48.856
1965,49.434
1966,50.032
1967,50.646
1968,51.267
1969,51.889
1970,52.501
1971,53.091
1972,53.652
1973,54.181
1974,54.676
1975,55.14
1976,55.577
1977,56
1978,56.418
1979,56.84
1980,57.272
1981,57.719
1982,58.183
1983,58.661
1984,59.154
1985,59.661
1986,60.176
1987,60.694
1988,61.214
1989,61.735
1990,62.261
1991,62.799
1992,63.352
1993,63.921
1994,64.502
1995,65.09
1996,65.678
1997,66.257
1998,66.817
1999,67.351
2000,67.849
2001,68.304
2002,68.717
2003,69.092
2004,69.437
2005,69.762
2006,70.082
2007,70.409
2008,70.75
2009,71.108
2010,71.481
2011,71.861
2012,72.236
2013,72.596
2014,72.935
2015,73.25
2016,73.541
2017,73.81
Country_Name,Guam
1960,60.97
1961,61.481
1962,61.986
1963,62.482
1964,62.968
1965,63.443
1966,63.907
1967,64.361
1968,64.805
1969,65.239
1970,65.662
1971,66.074
1972,66.473
1973,66.86
1974,67.235
1975,67.599
1976,67.951
1977,68.292
1978,68.624
1979,68.947
1980,69.262
1981,69.567
1982,69.864
1983,70.151
1984,70.431
1985,70.701
1986,70.96
1987,71.209
1988,71.45
1989,71.687
1990,71.925
1991,72.167
1992,72.42
1993,72.685
1994,72.967
1995,73.267
1996,73.589
1997,73.93
1998,74.283
1999,74.646
2000,75.011
2001,75.373
2002,75.726
2003,76.065
2004,76.387
2005,76.687
2006,76.966
2007,77.227
2008,77.474
2009,77.71
2010,77.941
2011,78.173
2012,78.408
2013,78.649
2014,78.895
2015,79.144
2016,79.391
2017,79.631
Country_Name,Guyana
1960,60.26
1961,60.441
1962,60.623
1963,60.805
1964,60.984
1965,61.157
1966,61.317
1967,61.462
1968,61.588
1969,61.697
1970,61.789
1971,61.868
1972,61.938
1973,62.005
1974,62.072
1975,62.14
1976,62.211
1977,62.283
1978,62.355
1979,62.427
1980,62.498
1981,62.565
1982,62.626
1983,62.684
1984,62.741
1985,62.801
1986,62.869
1987,62.95
1988,63.046
1989,63.159
1990,63.287
1991,63.427
1992,63.576
1993,63.73
1994,63.891
1995,64.064
1996,64.255
1997,64.468
1998,64.705
1999,64.964
2000,65.242
2001,65.532
2002,65.828
2003,66.122
2004,66.412
2005,66.694
2006,66.972
2007,67.247
2008,67.521
2009,67.792
2010,68.059
2011,68.321
2012,68.575
2013,68.819
2014,69.049
2015,69.262
2016,69.454
2017,69.624
Country_Name,High income
1960,68.54217173
1961,68.92351109
1962,68.89846275
1963,69.10469263
1964,69.50016354
1965,69.60625265
1966,69.86845428
1967,70.09388795
1968,70.0350318
1969,70.23490488
1970,70.55116853
1971,70.83456621
1972,71.12940541
1973,71.30128225
1974,71.71363774
1975,72.06255759
1976,72.32252526
1977,72.67613795
1978,72.83138106
1979,73.15635398
1980,73.18196992
1981,73.53860826
1982,73.87012524
1983,73.97075151
1984,74.24996093
1985,74.378107
1986,74.62697121
1987,74.89583801
1988,75.01349474
1989,75.26016283
1990,75.42240997
1991,75.59682538
1992,75.8572803
1993,75.93240638
1994,76.21287546
1995,76.27964159
1996,76.65065246
1997,76.98413392
1998,77.16583526
1999,77.30971531
2000,77.58667641
2001,77.88797711
2002,78.02620906
2003,78.15333805
2004,78.56633676
2005,78.66508832
2006,78.97464585
2007,79.2094105
2008,79.35690749
2009,79.63711787
2010,79.81667216
2011,80.05797372
2012,80.1771292
2013,80.35509283
2014,80.61077981
2015,80.48961424
2016,80.64039254
2017,80.6937295
Country_Name,"Hong Kong SAR, China"
1960,66.96168293
1961,67.5487561
1962,68.10597561
1963,68.62585366
1964,69.10436585
1965,69.54287805
1966,69.94621951
1967,70.32578049
1968,70.69053659
1969,71.04456098
1970,71.3865122
1971,71.45853659
1972,71.45609756
1973,72.1097561
1974,72.61219512
1975,73.36829268
1976,72.8195122
1977,73.3195122
1978,73.57560976
1979,73.67317073
1980,74.67317073
1981,75.32439024
1982,75.42926829
1983,75.27560976
1984,76.02926829
1985,76.43414634
1986,76.68536585
1987,76.88292683
1988,77.08292683
1989,77.02926829
1990,77.3804878
1991,77.88292683
1992,77.67804878
1993,78.03170732
1994,78.52926829
1995,78.68292683
1996,79.62682927
1997,80.12682927
1998,80.13170732
1999,80.38292683
2000,80.87804878
2001,81.42439024
2002,81.42682927
2003,81.37804878
2004,81.82926829
2005,81.62926829
2006,82.37560976
2007,82.32682927
2008,82.37560976
2009,82.77560976
2010,82.97804878
2011,83.42195122
2012,83.4804878
2013,83.83170732
2014,83.9804878
2015,84.27804878
2016,84.22682927
2017,84.6804878
Country_Name,Honduras
1960,46.274
1961,46.953
1962,47.625
1963,48.285
1964,48.926
1965,49.548
1966,50.151
1967,50.742
1968,51.33
1969,51.921
1970,52.522
1971,53.14
1972,53.778
1973,54.439
1974,55.124
1975,55.834
1976,56.567
1977,57.317
1978,58.08
1979,58.851
1980,59.632
1981,60.427
1982,61.236
1983,62.05
1984,62.859
1985,63.643
1986,64.382
1987,65.062
1988,65.679
1989,66.229
1990,66.723
1991,67.175
1992,67.605
1993,68.028
1994,68.45
1995,68.871
1996,69.284
1997,69.676
1998,70.041
1999,70.378
2000,70.689
2001,70.976
2002,71.249
2003,71.511
2004,71.77
2005,72.026
2006,72.285
2007,72.544
2008,72.803
2009,73.061
2010,73.317
2011,73.569
2012,73.814
2013,74.051
2014,74.278
2015,74.495
2016,74.701
2017,74.898
Country_Name,Heavily indebted poor countries (HIPC)
1960,39.77965767
1961,40.22140255
